Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,Butter,Milk,
,,Bread,Butter,Milk,
,Chips,,Butter,,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,,,Milk,
Wine,Chips,Bread,Butter,,Apple
Wine,Chips,,,Milk,
Wine,,Bread,,,Apple
,,Bread,Butter,Milk,
Wine,Chips,Bread,Butter,,Apple
Wine,,,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,,Milk,
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
,Chips,Bread,Butter,Milk,Apple
,Chips,,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,,Milk,Apple
,Chips,,,,
